id,name,zip_id:id
131,BUENOS AIRES,l10n_co_base_location.zip_co_050016
132,EL SALVADOR,l10n_co_base_location.zip_co_050016
133,GERONA,l10n_co_base_location.zip_co_050016
134,LAS PALMAS,l10n_co_base_location.zip_co_050016
135,SAN DIEGO,l10n_co_base_location.zip_co_050016
136,SANTA ELENA,l10n_co_base_location.zip_co_050017
137,SIN INFORMACION DE BARRIOS,l10n_co_base_location.zip_co_050018
138,BOMBONÁ NO.2,l10n_co_base_location.zip_co_050020
139,CATALUÑA,l10n_co_base_location.zip_co_050020
140,LA MILAGROSA,l10n_co_base_location.zip_co_050020
141,LORETO,l10n_co_base_location.zip_co_050020
142,LOS CERROS EL VERGEL,l10n_co_base_location.zip_co_050020
143,MIRAFLORES,l10n_co_base_location.zip_co_050020
144,ALTOS DEL POBLADO,l10n_co_base_location.zip_co_050021
145,ASOMADERA NO.2,l10n_co_base_location.zip_co_050021
146,ASOMADERA NO.3,l10n_co_base_location.zip_co_050021
147,BARRIO COLOMBIA,l10n_co_base_location.zip_co_050021
148,CASTROPOL,l10n_co_base_location.zip_co_050021
149,EL POBLADO,l10n_co_base_location.zip_co_050021
150,EL TESORO,l10n_co_base_location.zip_co_050021
151,LA FLORIDA,l10n_co_base_location.zip_co_050021
152,LALINDE,l10n_co_base_location.zip_co_050021
153,LAS LOMAS NO.1,l10n_co_base_location.zip_co_050021
154,LAS LOMAS NO.2,l10n_co_base_location.zip_co_050021
155,MANILA,l10n_co_base_location.zip_co_050021
156,VILLA CARLOTA,l10n_co_base_location.zip_co_050021
157,ALEJANDRÍA,l10n_co_base_location.zip_co_050022
158,ASTORGA,l10n_co_base_location.zip_co_050022
159,EL CASTILLO,l10n_co_base_location.zip_co_050022
160,EL DIAMANTE NO.2,l10n_co_base_location.zip_co_050022
161,LA AGUACATALA,l10n_co_base_location.zip_co_050022
162,LOS BALSOS NO.1,l10n_co_base_location.zip_co_050022
163,LOS BALSOS NO.2,l10n_co_base_location.zip_co_050022
164,LOS NARANJOS,l10n_co_base_location.zip_co_050022
165,PATIO BONITO,l10n_co_base_location.zip_co_050022
166,SAN LUCAS,l10n_co_base_location.zip_co_050022
167,SANTA MARÍA DE LOS ÁNGELES,l10n_co_base_location.zip_co_050022
168,EL RINCÓN,l10n_co_base_location.zip_co_050023
169,EL RODEO,l10n_co_base_location.zip_co_050023
170,GUAYABAL,l10n_co_base_location.zip_co_050023
171,LA COLINA,l10n_co_base_location.zip_co_050023
172,LA HONDONADA,l10n_co_base_location.zip_co_050023
173,LA MOTA,l10n_co_base_location.zip_co_050023
174,CAMPO AMOR,l10n_co_base_location.zip_co_050024
175,CRISTO REY,l10n_co_base_location.zip_co_050024
176,PARQUE JUAN PABLO II,l10n_co_base_location.zip_co_050024
177,SANTA FÉ,l10n_co_base_location.zip_co_050024
178,TENCHE,l10n_co_base_location.zip_co_050024
179,TRINIDAD,l10n_co_base_location.zip_co_050024
180,DIEGO ECHAVARRÍA,l10n_co_base_location.zip_co_050025
181,GRANADA,l10n_co_base_location.zip_co_050025
182,LAS PLAYAS,l10n_co_base_location.zip_co_050025
183,SAN BERNARDO,l10n_co_base_location.zip_co_050025
184,ALTAVISTA,l10n_co_base_location.zip_co_050026
185,AREA DE EXPANSIÓN ALTAVISTA,l10n_co_base_location.zip_co_050026
186,LA GLORIA,l10n_co_base_location.zip_co_050026
187,LA LOMA DE LOS BERNAL,l10n_co_base_location.zip_co_050026
188,LA PALMA,l10n_co_base_location.zip_co_050026
189,LAS VIOLETAS,l10n_co_base_location.zip_co_050026
190,LOS ALPES,l10n_co_base_location.zip_co_050026
191,SIN INFORMACION DE BARRIOS,l10n_co_base_location.zip_co_050027
192,SIN INFORMACION DE BARRIOS,l10n_co_base_location.zip_co_050028
193,SAN ANTONIO DE PRADO,l10n_co_base_location.zip_co_050029
194,BELÉN,l10n_co_base_location.zip_co_050030
195,CERRO NUTIBARA,l10n_co_base_location.zip_co_050030
196,EL NOGAL,l10n_co_base_location.zip_co_050030
197,LOS ALMENDROS,l10n_co_base_location.zip_co_050030
198,FÁTIMA,l10n_co_base_location.zip_co_050030
199,LOS CONQUISTADORES,l10n_co_base_location.zip_co_050030
200,MIRAVALLE,l10n_co_base_location.zip_co_050030
201,ROSALES,l10n_co_base_location.zip_co_050030
202,BOLIVARIANA,l10n_co_base_location.zip_co_050031
203,EL VELÓDROMO,l10n_co_base_location.zip_co_050031
204,FLORIDA NUEVA,l10n_co_base_location.zip_co_050031
205,LAS ACACIAS,l10n_co_base_location.zip_co_050031
206,LAURELES,l10n_co_base_location.zip_co_050031
207,LORENA,l10n_co_base_location.zip_co_050031
208,LOS PINOS,l10n_co_base_location.zip_co_050031
209,NARANJAL,l10n_co_base_location.zip_co_050031
210,SAN JOAQUÍN,l10n_co_base_location.zip_co_050031
211,U.P.B,l10n_co_base_location.zip_co_050031
212,BARRIO CRISTÓBAL,l10n_co_base_location.zip_co_050032
213,BELENCITO,l10n_co_base_location.zip_co_050032
214,CAMPO ALEGRE,l10n_co_base_location.zip_co_050032
215,EL DANUBIO,l10n_co_base_location.zip_co_050032
216,LA AMÉRICA,l10n_co_base_location.zip_co_050032
217,LA CASTELLANA,l10n_co_base_location.zip_co_050032
218,LA FLORESTA,l10n_co_base_location.zip_co_050032
219,LAS MERCEDES,l10n_co_base_location.zip_co_050032
220,NUEVA VILLA DEL ABURRÁ,l10n_co_base_location.zip_co_050032
221,SANTA MÓNICA,l10n_co_base_location.zip_co_050032
222,SANTA TERESITA,l10n_co_base_location.zip_co_050032
223,SIMÓN BOLÍVAR,l10n_co_base_location.zip_co_050032
224,ANTONIO NARIÑO,l10n_co_base_location.zip_co_050033
225,BETANIA,l10n_co_base_location.zip_co_050033
226,EDUARDO SANTOS,l10n_co_base_location.zip_co_050033
227,EL CORAZÓN,l10n_co_base_location.zip_co_050033
228,EL SALADO,l10n_co_base_location.zip_co_050033
229,EL SOCORRO,l10n_co_base_location.zip_co_050033
230,LAS INDEPENDENCIAS,l10n_co_base_location.zip_co_050033
231,NUEVOS CONQUISTADORES,l10n_co_base_location.zip_co_050033
