id,city_id/id,name,type
zip_co_192538,l10n_co_base_location.city_co_19355,192538,rural
zip_co_192029,l10n_co_base_location.city_co_19364,192029,rural
zip_co_192020,l10n_co_base_location.city_co_19364,192020,urban
zip_co_192028,l10n_co_base_location.city_co_19364,192028,rural
zip_co_192027,l10n_co_base_location.city_co_19364,192027,rural
zip_co_194001,l10n_co_base_location.city_co_19392,194001,urban
zip_co_194007,l10n_co_base_location.city_co_19392,194007,rural
zip_co_194008,l10n_co_base_location.city_co_19392,194008,rural
zip_co_194020,l10n_co_base_location.city_co_19397,194020,urban
zip_co_194029,l10n_co_base_location.city_co_19397,194029,rural
zip_co_194027,l10n_co_base_location.city_co_19397,194027,rural
zip_co_194037,l10n_co_base_location.city_co_19397,194037,rural
zip_co_194038,l10n_co_base_location.city_co_19397,194038,rural
zip_co_194028,l10n_co_base_location.city_co_19397,194028,rural
zip_co_196060,l10n_co_base_location.city_co_19418,196060,urban
zip_co_196068,l10n_co_base_location.city_co_19418,196068,rural
zip_co_196067,l10n_co_base_location.city_co_19418,196067,rural
zip_co_195060,l10n_co_base_location.city_co_19450,195060,urban
zip_co_195067,l10n_co_base_location.city_co_19450,195067,rural
zip_co_195068,l10n_co_base_location.city_co_19450,195068,rural
zip_co_195069,l10n_co_base_location.city_co_19450,195069,rural
zip_co_191520,l10n_co_base_location.city_co_19455,191520,urban
zip_co_191528,l10n_co_base_location.city_co_19455,191528,rural
zip_co_191529,l10n_co_base_location.city_co_19455,191529,rural
zip_co_191527,l10n_co_base_location.city_co_19455,191527,rural
zip_co_190567,l10n_co_base_location.city_co_19473,190567,rural
zip_co_190557,l10n_co_base_location.city_co_19473,190557,rural
zip_co_190559,l10n_co_base_location.city_co_19473,190559,rural
zip_co_190558,l10n_co_base_location.city_co_19473,190558,rural
zip_co_190550,l10n_co_base_location.city_co_19473,190550,urban
zip_co_191540,l10n_co_base_location.city_co_19513,191540,urban
zip_co_191547,l10n_co_base_location.city_co_19513,191547,rural
zip_co_192501,l10n_co_base_location.city_co_19517,192501,urban
zip_co_192508,l10n_co_base_location.city_co_19517,192508,rural
zip_co_192518,l10n_co_base_location.city_co_19517,192518,rural
zip_co_192517,l10n_co_base_location.city_co_19517,192517,rural
zip_co_192507,l10n_co_base_location.city_co_19517,192507,rural
zip_co_192509,l10n_co_base_location.city_co_19517,192509,rural
zip_co_195501,l10n_co_base_location.city_co_19532,195501,urban
zip_co_195507,l10n_co_base_location.city_co_19532,195507,rural
zip_co_195508,l10n_co_base_location.city_co_19532,195508,rural
zip_co_195509,l10n_co_base_location.city_co_19532,195509,rural
zip_co_194550,l10n_co_base_location.city_co_19533,194550,urban
zip_co_194557,l10n_co_base_location.city_co_19533,194557,rural
zip_co_194558,l10n_co_base_location.city_co_19533,194558,rural
zip_co_190530,l10n_co_base_location.city_co_19548,190530,urban
zip_co_190548,l10n_co_base_location.city_co_19548,190548,rural
zip_co_190538,l10n_co_base_location.city_co_19548,190538,rural
zip_co_190547,l10n_co_base_location.city_co_19548,190547,rural
zip_co_190539,l10n_co_base_location.city_co_19548,190539,rural
zip_co_190537,l10n_co_base_location.city_co_19548,190537,rural
zip_co_190001,l10n_co_base_location.city_co_19001,190001,urban
zip_co_190008,l10n_co_base_location.city_co_19001,190008,rural
zip_co_190002,l10n_co_base_location.city_co_19001,190002,urban
zip_co_190009,l10n_co_base_location.city_co_19001,190009,rural
zip_co_190018,l10n_co_base_location.city_co_19001,190018,rural
zip_co_190007,l10n_co_base_location.city_co_19001,190007,rural
zip_co_190017,l10n_co_base_location.city_co_19001,190017,rural
zip_co_190004,l10n_co_base_location.city_co_19001,190004,urban
zip_co_190003,l10n_co_base_location.city_co_19001,190003,urban
zip_co_191501,l10n_co_base_location.city_co_19573,191501,urban
zip_co_191507,l10n_co_base_location.city_co_19573,191507,rural
zip_co_193001,l10n_co_base_location.city_co_19585,193001,urban
zip_co_193007,l10n_co_base_location.city_co_19585,193007,rural
zip_co_193008,l10n_co_base_location.city_co_19585,193008,rural
zip_co_193009,l10n_co_base_location.city_co_19585,193009,rural
zip_co_193550,l10n_co_base_location.city_co_19622,193550,urban
zip_co_193558,l10n_co_base_location.city_co_19622,193558,rural
zip_co_193557,l10n_co_base_location.city_co_19622,193557,rural
zip_co_194501,l10n_co_base_location.city_co_19693,194501,urban
zip_co_194508,l10n_co_base_location.city_co_19693,194508,rural
zip_co_194509,l10n_co_base_location.city_co_19693,194509,rural
zip_co_194507,l10n_co_base_location.city_co_19693,194507,rural
zip_co_194520,l10n_co_base_location.city_co_19701,194520,urban
zip_co_194528,l10n_co_base_location.city_co_19701,194528,rural
zip_co_194527,l10n_co_base_location.city_co_19701,194527,rural
zip_co_191030,l10n_co_base_location.city_co_19698,191030,urban
zip_co_191048,l10n_co_base_location.city_co_19698,191048,rural
zip_co_191049,l10n_co_base_location.city_co_19698,191049,rural
zip_co_191038,l10n_co_base_location.city_co_19698,191038,rural
zip_co_191037,l10n_co_base_location.city_co_19698,191037,rural
zip_co_191039,l10n_co_base_location.city_co_19698,191039,rural
zip_co_191047,l10n_co_base_location.city_co_19698,191047,rural
zip_co_192070,l10n_co_base_location.city_co_19743,192070,urban
zip_co_192078,l10n_co_base_location.city_co_19743,192078,rural
zip_co_192079,l10n_co_base_location.city_co_19743,192079,rural
zip_co_192077,l10n_co_base_location.city_co_19743,192077,rural
zip_co_192087,l10n_co_base_location.city_co_19743,192087,rural
zip_co_193501,l10n_co_base_location.city_co_19760,193501,urban
zip_co_193508,l10n_co_base_location.city_co_19760,193508,rural
zip_co_193507,l10n_co_base_location.city_co_19760,193507,rural
zip_co_190580,l10n_co_base_location.city_co_19780,190580,urban
zip_co_190597,l10n_co_base_location.city_co_19780,190597,rural
zip_co_190588,l10n_co_base_location.city_co_19780,190588,rural
zip_co_190589,l10n_co_base_location.city_co_19780,190589,rural
zip_co_190587,l10n_co_base_location.city_co_19780,190587,rural
zip_co_194060,l10n_co_base_location.city_co_19785,194060,urban
zip_co_194067,l10n_co_base_location.city_co_19785,194067,rural
zip_co_194068,l10n_co_base_location.city_co_19785,194068,rural
zip_co_193520,l10n_co_base_location.city_co_19807,193520,urban
zip_co_193527,l10n_co_base_location.city_co_19807,193527,rural
zip_co_193528,l10n_co_base_location.city_co_19807,193528,rural
zip_co_193537,l10n_co_base_location.city_co_19807,193537,rural
zip_co_193529,l10n_co_base_location.city_co_19807,193529,rural
